names,prices,description,phone_model,city,date,view
Телефон,30 000 ₸,Продам телефон ASUS.,Мобильные телефоны » ASUS,Костанай,29 ноября 2020 г.,  352 
Продам meizu C9,18 000 ₸,"Продам Meizu C9: 4G, 16гб 
Телефон абсолютно новый, со всей комплектацией.
БЕЗ МИНУСОВ.
Документы, коробка, зарядка.... ",Мобильные телефоны » Meizu,Павлодар,29 ноября 2020 г.,  1 
"Срочно!!! продам телефон Samsung Galaxy a516/128Gb,",85 000 ₸,"Срочно! Продам телефон за 80000-75000
•Samsung Galaxy a51 128Gb, цвет черный
•Смартфон на платформе... ",Мобильные телефоны » Samsung,Нур-Султан (Астана),29 ноября 2020 г.,  63 
Sony experia,Договорная цена,,Мобильные телефоны » Sony,Караганда,29 ноября 2020 г.,  226 
"iphone 7,32Gb",Договорная цена,"Продается iphone 7
Состояние хорошое
Память 32 gb
на фото на экране плёнка 
экран не менялся,свой родной
Возможен торг",Мобильные телефоны » Apple,Узынагаш,29 ноября 2020 г.,  53 
Продам смартфон,35 000 ₸,Продам смартфон Samsung Galaxy A01 Core. Новый в коробке с документами. Цена 35 000. Тел,Мобильные телефоны » Samsung,Костанай,29 ноября 2020 г.,  25 
Samsung A10,45 000 ₸,Новый Самсунг А10 с коробкой с документами в идеальном состояний как пришел так и стоит коробку даже не открывал. Торг... ,Мобильные телефоны » Samsung,Алматы,29 ноября 2020 г.,  4 
Телефон сатам экрандары күйгенба блмим j5 a5 екеуі,Договорная цена,"Телефон сатам экрандары күйгенба блмим j5 a5 екеуі 10к 
Экраны жанбайды",Мобильные телефоны » Samsung,Тараз,29 ноября 2020 г.,  4 
Meizu M6 Note 16 Gb,40 000 ₸,"Продам телефон в отличном состоянии. Был приобретен в декабре 2018 года. Коробка, чехол, защитное стекло в наличии.",Мобильные телефоны » Meizu,Нур-Султан (Астана),29 ноября 2020 г.,  1093 
Продам Самсунг А10 и редми 9А в идельном состояний новый с коробкой,Договорная цена,"Новый с документами Самсунг 10 и Редми 9А
Самсунг А10 - 40000тнг есть торг
Редми 9А - 400000тнг так же есть торг
Оба... ",Мобильные телефоны » Samsung,Алматы,29 ноября 2020 г.,  5 
HTC Desire 326G dual sim,20 000 ₸,"Cмартфон с Android 4.4, поддержка двух SIM-карт, экран 4.5"", камера 8 МП, автофокус, память 8 ГБ, слот для карты... ",Мобильные телефоны » HTC,Нур-Султан (Астана),29 ноября 2020 г.,  180 
HTC Desire 326G dual sim,20 000 ₸,"Cмартфон с Android 4.4, поддержка двух SIM-карт, экран 4.5"", камера 8 МП, автофокус, память 8 ГБ, слот для карты... ",Мобильные телефоны » HTC,Нур-Султан (Астана),29 ноября 2020 г.,  180 
Продам телефон,20 000 ₸,Продается телефон LG K10 в идеальном состоянии. Так как подарили другой телефон. Документ и коробка имеется. Наушники... ,Мобильные телефоны » LG,Алматы,29 ноября 2020 г.,  58 
Продам Iphone 5s 32gb,30 000 ₸,"Продам Iphone 5s сост среднее, все работает, заменена батарея, точ ид тоже работает, куплен в Германий, состояние на... ",Мобильные телефоны » Apple,Шымкент,29 ноября 2020 г.,  98 
IPhone 12 64гб Чёрный Цвет,Договорная цена,Жаңадан алынған қолданылмаған але,Мобильные телефоны » iNew,Сарыагаш,29 ноября 2020 г.,  39 
Телефон нокиа N97 и N73,5 000 ₸,Продам 2 телефона на запчасти N97 и N73,Мобильные телефоны » Nokia,Уральск,29 ноября 2020 г.,  145 
Телефон Samsung galaxy j 5,55 000 ₸,Телефон Samsung galaxy j 5 Prime новый долго не использовали зарятка всё ест 55. 000 могу за 50. 000,Мобильные телефоны » Samsung,Атырау,29 ноября 2020 г.,  49 
Смартфон xiaomi Mi 9Lite. 6/64gb. Черный,85 000 ₸,Продам смарт. Xiaomi Mi 9Lite. Black. Память 6гб озу. 64гб.осн п. Все в хорошем состояний. Работает .докуметы есть... ,Мобильные телефоны » Xiaomi,Атырау,29 ноября 2020 г.,  56 
Samsung Galaxy A70. A90 Replica,33 000 ₸,"Samsung Galaxy A70. A90 Replica копия
Южнокорейские КОПИЯ 100% ный
В наличии все цвета",Мобильные телефоны » Samsung,Алматы,29 ноября 2020 г.,  2900 
Samsung Galaxy Note 10 Galaxy S10+ Replica,45 000 ₸,"Samsung Galaxy Note 10
Samsung Galaxy S10 Plus

REPLICA Точная КОПИЯ

Есть доставка по РК",Мобильные телефоны » Samsung,Алматы,29 ноября 2020 г.,  8410 
Samsung Galaxy А70.J5. J6. J7+ Точная КОПИЯ,37 000 ₸,"Samsung Galaxy А60.А70.J5. J6. J7+ Replica КОПИЯ

Есть Доставка по РК
В подарок чехол стекло",Мобильные телефоны » Samsung,Алматы,29 ноября 2020 г.,  1595 
Доставка РК Samsung Galaxy a30,53 000 ₸,"Процессор: восьмиядерный (1.8 ГГц, 1.6 ГГц)

Экран: 6,4 дюймовый (162,1 мм)⁵ Full HD+ sAMOLED

Основная камера... ",Мобильные телефоны » Samsung,Шымкент,29 ноября 2020 г.,  16 
Продам IPhone 11 64Gb Yellow.Полный комплект,275 000 ₸,"Продам IPhone 11 64 Gb Yellow EAC, официальный.Куплен в магазине Ipoint. Телефон как новый с магазина все документы и... ",Мобильные телефоны » Apple,Нур-Султан (Астана),29 ноября 2020 г.,  0 
Poco F1,70 000 ₸,Сатылады сост жаксы 128 гб обмен жок,Мобильные телефоны » Xiaomi,Актау,29 ноября 2020 г.,  1 
"Смартфон Huawei Y6 2019 синий

 (396",46 000 ₸,"Новый, не распоковонный, чек, гарантия и все документы в наличии.",Мобильные телефоны » Huawei,Петропавловск,29 ноября 2020 г.,  1 
LG G6,60 000 ₸,"Lg g6 продам, цена договорная",Мобильные телефоны » LG,Актау,29 ноября 2020 г.,  207 
Айфон 8 64гб,135 000 ₸,Айфон 8 64гб почти новая пользовались 1 неделю. Сост батареи 99%. Комплектация коробка и зарядчик.Срочно,Мобильные телефоны » Apple,Шымкент,29 ноября 2020 г.,  2 
Продам айфон,Договорная цена,"Продам айфон 5, нормальное рабочее состояние, батарея держит заряд, всё функционирует, один минус барахлит задняя... ",Мобильные телефоны » Apple,Кокшетау,29 ноября 2020 г.,  26 
IPhone XS Max 256гб(золотистый),170 000 ₸,"Продам ! Задняя панель разбита на работу никак не влияет !
Работает отлично",Мобильные телефоны » Apple,Алматы,29 ноября 2020 г.,  101 
IPhone 4S,"10 000 ₸ 
                                    Срочно, торг
                                ","Продам IPhone 4S 8Gb, состояние отличное, защитное стекло, четыре чехла, коробка, документы, кабель и блок питания не... ",Мобильные телефоны » Apple,Костанай,29 ноября 2020 г.,  527 
Продам смартфон,7 500 ₸,"Продам смартфон китай модель С4, интернет 2 джи Е, память мало 150мб. Камера, видео, флешка. 2 симкарты, с плёнкой... ",Мобильные телефоны » MyPhone,Капчагай,29 ноября 2020 г.,  319 
Продам смартфон,5 500 ₸,"Продам смартфон есть трещина, модель бенефит С 504, 2 симкарты, интернет 3джи, память 4гб, камера, видео, флешка.",Мобильные телефоны » Другой,Капчагай,29 ноября 2020 г.,  377 
Lg q7 и iPhone 5S,60 000 ₸,"Продам 2 телефона. Lg-2018 года выхода. Есть нфс, быстраЯ зарядка, Но есть один минус есть трещины. IPhone 5S-2013... ",Мобильные телефоны » LG,Шымкент,29 ноября 2020 г.,  5 
Продам сенсорный телефон,20 000 ₸,"Продам телефон Huawei y 5 prime.
Год 2018.
-Безрамочный экран Huawei FullView.
-Батарея 3020 мА*ч*
-2 гб RAM/16гб... ",Мобильные телефоны » Huawei,Нур-Султан (Астана),29 ноября 2020 г.,  0 
Продам телефон,45 000 ₸,"Продам телефон в отличном состоянии ещё на гарантии,без царапин и потёртостей,документы все есть,зарядку держит... ",Мобильные телефоны » OPPO,Караганда,29 ноября 2020 г.,  55 
Iphone 5s,40 000 ₸,"Продаётся айфон 5 s. 16 ГБ. В отличном состоянии. 
•НЕ ЗАВИСАЕТ
•Нет ни царапины
•Есть защитный стекло 
•Есть... ",Мобильные телефоны » Apple,Шымкент,29 ноября 2020 г.,  406 
Смартфон,15 000 ₸,Оригинальный смартфон.,Мобильные телефоны » Nokia,Кокшетау,29 ноября 2020 г.,  559 
Продам сенсорный телефон,20 000 ₸,"Продам телефон Huawei y 5 prime.
Год 2018.
-Безрамочный экран Huawei FullView.
-Батарея 3020 мА*ч*
-2 гб RAM/16гб... ",Мобильные телефоны » Huawei,Нур-Султан (Астана),29 ноября 2020 г.,  1 
iPhone 7,75 000 ₸,"Срочно продам телефон iPhone 7 128gb чёрный цвет 
Состояние отлично все работает 
Отпечаток пальца работает 
Комплекте... ",Мобильные телефоны » Apple,Алматы,29 ноября 2020 г.,  6 
Телефон,120 000 ₸,"Новый айфон 7 черного цвета,не пользовались как купили так и лежит,красный чехол",Мобильные телефоны » Apple,Актау,29 ноября 2020 г.,  1 
Телефон,Договорная цена,Oppo a5 обменяю на Айфон 7+,"Телефоны, гаджеты » Мобильные телефоны",Алматы,29 ноября 2020 г.,  65 
Телефон обменяю айфон6 на айфон 7 плюс доплата,Договорная цена,"Обменяю Айфон 6, на Айфон 7 плюс доплата",Мобильные телефоны » Apple,Алматы,29 ноября 2020 г.,  155 
Продам сенсорный телефон,20 000 ₸,"Продам телефон Huawei y 5 prime.
Год 2018.
-Безрамочный экран Huawei FullView.
-Батарея 3020 мА*ч*
-2 гб RAM/16гб... ",Мобильные телефоны » Huawei,Нур-Султан (Астана),29 ноября 2020 г.,  2 
Обменяю айфон 6 на X box,11 111 ₸,Б/у,Мобильные телефоны » Apple,Алматы,29 ноября 2020 г.,  56 
Samsung A21 32Gb,Договорная цена,"Продаётся Samsung A21. Новый, в коробке со всеми аксессуарами.",Мобильные телефоны » Samsung,Шымкент,29 ноября 2020 г.,  27 
Телефон Huawei P8 Lite,23 999 ₸,"Huawei P8 Lite 16Gb
Телефон в хорошем техническом состоянии 9/10
В комплекте только коробка
Цена окончательная, обмена... ",Мобильные телефоны » Huawei,Алматы,29 ноября 2020 г.,  43 
Продам телефон,70 000 ₸,Продам А21 ещё новый,Мобильные телефоны » Samsung,Алматы,29 ноября 2020 г.,  71 
Samsung A8,Договорная цена,"Samsung A8 ды Айфон 6 или айфон 7 ге ауыстрам Жагдайы жаксы 4G устайд 2 симкарта салынады сотка кумайд 
Но 1 гана... ",Мобильные телефоны » Samsung,Алматы,29 ноября 2020 г.,  8 
Продаю Айфон,Договорная цена,"Продаю IPhone XR 64 гб за 230 тысяч Пользовалась пол года. Состояние идеальное, без царапин без нарекании Ничего не... ",Мобильные телефоны » Apple,Нур-Султан (Астана),29 ноября 2020 г.,  16 
Айфон 6,25 000 ₸,,Мобильные телефоны » Apple,Усть-Каменогорск,29 ноября 2020 г.,  32 
128/6gb redmi note 9s НОВЫЙ ТЕЛЕФОН,100 000 ₸,"смартфон с Android 10;

поддержка двух SIM-карт;

экран 6.67"", разрешение 2400x1080;

четыре камеры 48 МП/8 МП/5 МП/2... ",Мобильные телефоны » Xiaomi,Алматы,29 ноября 2020 г.,  627 
Продам сенсорный телефон,20 000 ₸,"Продам телефон Huawei y 5 prime.
Год 2018.
-Безрамочный экран Huawei FullView.
-Батарея 3020 мА*ч*
-2 гб RAM/16гб... ",Мобильные телефоны » Huawei,Нур-Султан (Астана),29 ноября 2020 г.,  1 
Apple iPhone 8 64gb space grey,110 000 ₸,"В хорошем состоянии, есть небольшие царапины на экране. Полный комплект в коробке",Мобильные телефоны » Apple,Нур-Султан (Астана),29 ноября 2020 г.,  491 
Apple iPhone 8 64gb space grey,110 000 ₸,"В хорошем состоянии, есть небольшие царапины на экране. Полный комплект в коробке",Мобильные телефоны » Apple,Нур-Султан (Астана),29 ноября 2020 г.,  491 
Телефон,25 000 ₸,,Мобильные телефоны » Samsung,Актау,29 ноября 2020 г.,  43 
Samsung A 20,55 000 ₸,"Продаю Самсунг А 20. Красного цвета. Состояние идеальное. Не глючит! Документы, коробка. Обмен не интересует. Только... ",Мобильные телефоны » Samsung,Актау,29 ноября 2020 г.,  311 
Продам тел или обменяю на ноутбук,55 000 ₸,"Продам или обменяю, ни разу не был на ремонте! Есть трещина, на фото видно, никак не влияет на работу тел! 
По желанию... ",Мобильные телефоны » Samsung,Нур-Султан (Астана),29 ноября 2020 г.,  7 
iPhone 6 32г,Договорная цена,Айфон 6 32гб в хорошем состоянии.Один хозяин.Айлауд мой.В комплекте все есть кроме наушника.,Мобильные телефоны » Apple,"Касыма Кайсенова (Молодежный, Уланский р-н)",29 ноября 2020 г.,  0 
"Продам IPhone 8, 256gb",220 000 ₸,"Телефон в хорошем состоянии, пользовалась аккуратно, постоянно в чехле и с защитным стеклом. Все вопросы по телефону или",Мобильные телефоны » Apple,Алматы,29 ноября 2020 г.,  52 
Продам два телефона Huawei,25 000 ₸,"Продам два телефона Huawei, один в хорошем состоянии, другой можно починить (полный комплект), на фото видно состоянии... ",Мобильные телефоны » Huawei,Алматы,29 ноября 2020 г.,  85 
Продам телефон Huawei Y6II,22 000 ₸,"Продам телефон Huawei Y6II в хорошем состоянии. Оперативной памяти 2гб, встроенной памяти 16гб, иметь поддержка... ",Мобильные телефоны » Huawei,Павлодар,29 ноября 2020 г.,  236 
айфон6S,50 000 ₸,"Телефон в хорошем состоянии, меняли дисплей , все работает",Мобильные телефоны » Apple,Алматы,29 ноября 2020 г.,  51 
HUAWEI P smart Z,90 000 ₸,HUAWEI P smart Z,Мобильные телефоны » Huawei,Аксукент,29 ноября 2020 г.,  0 
А41 состояние отличное в ремонте не было,65 000 ₸,Срочно продам телефон А41 в ремонте не было. Состояние идеальное,Мобильные телефоны » Samsung,Алматы,29 ноября 2020 г.,  8 
Xiaomi Redmi Note 9S 128GB,95 000 ₸,"Магазин SMART ELECTRONICS
Оптовые цены, работаем каждый день скидки с 10:00 - до 19:00

Количество ограничено!... ",Мобильные телефоны » Xiaomi,Алматы,29 ноября 2020 г.,  273 
"Идеальный Xiaomi Black Shark Snapdragon 845 Игровой,Полный Комплект.",119 890 ₸,"•Куплен в начале года,полный фарш все доп аксессуары докуплены(полный комплект).в играх все преимущества вам... ",Мобильные телефоны » Xiaomi,Алматы,29 ноября 2020 г.,  37 
Продам самсунг j3 2017,25 000 ₸,Хорошем состояний домашний 316078,Мобильные телефоны » Samsung,Павлодар,29 ноября 2020 г.,  2 
Iphone 8 64 gb ОБМЕНА НЕТ,130 000 ₸,Iphone 8 64 gb ОБМЕНА НЕТ нужны деньги,Мобильные телефоны » Apple,Нур-Султан (Астана),29 ноября 2020 г.,  493 
Iphone se 2020,165 000 ₸,"Айфон se 2020 64 black телефону 3 месяца, на гарантий, пользовались в чехле, защитное стекло, в комплекте коробка,... ",Мобильные телефоны » Apple,Караганда,29 ноября 2020 г.,  32 
Samsung Galaxy A11 32GB/ Самсунг А11 32гб,"57 000 ₸ 
                                    Срочно, торг
                                ","Магазин SMART ELECTRONICS
Самые низкие цены в городе, работаем каждый день скидки с 10:00 - до 19:00

Количество... ",Мобильные телефоны » Samsung,Алматы,29 ноября 2020 г.,  429 
Продам смартфон Oppo Reno 2 в идеальном состоянии,100 000 ₸,"Продам смартфон Oppo Reno 2 в идеальном состоянии, наушники новые, ёмкость аккумулятора 4000mAh VOOC Flash Charge 3. 0... ",Мобильные телефоны » OPPO,Нур-Султан (Астана),29 ноября 2020 г.,  2 
редми,Договорная цена,хорошее состояние,Мобильные телефоны » Xiaomi,Атырау,29 ноября 2020 г.,  25 
iPhone 12 mini,200 000 ₸,"iPhone совершенно новый. Привезен из ЕС. Коробка не распаковывалась. год гарантии. Телефон оригинальный. Евротест,... ",Мобильные телефоны » Apple,Нур-Султан (Астана),29 ноября 2020 г.,  76 
Продам Samsung Galaxy S8+ Фиолетовый (64 Гб),80 000 ₸,Samsung Galaxy S8+ Фиолетовый (64 Гб) в отличном состоянии. Смартфоном пользовались аккуратно. Выглядит практически... ,Мобильные телефоны » Samsung,Алматы,29 ноября 2020 г.,  445 
Продам Samsung Galaxy S8+ Фиолетовый (64 Гб),80 000 ₸,Samsung Galaxy S8+ Фиолетовый (64 Гб) в отличном состоянии. Смартфоном пользовались аккуратно. Выглядит практически... ,Мобильные телефоны » Samsung,Алматы,29 ноября 2020 г.,  445 
Самсунг а10,37 000 ₸,Продам Самсунг а10  документы все есть,Мобильные телефоны » Acer,Алматы,29 ноября 2020 г.,  1 
Xiaomi mi 9t 6/64,100 000 ₸,"Телефон Xiaomi mi 9t, в идеальном состоянии , брали пол года назад в каспи магазине , не царапин не сколов не чего нет... ",Мобильные телефоны » Xiaomi,Тараз,29 ноября 2020 г.,  93 
Продам iPhone Xr,220 000 ₸,"Покупала всего два месяца назад, есть документы для подтверждения. Коробка есть, со всеми бумажками, зарядка своя. Нет... ",Мобильные телефоны » Apple,Алматы,29 ноября 2020 г.,  40 
Самсунг S10 Lite,170 000 ₸,"Продам самсунг S10 Lite Snapdragon 855, В использовании 2 месяца, полный комплект, со смарт чехлом, защитное стекло",Мобильные телефоны » Samsung,Алматы,29 ноября 2020 г.,  153 
Срочно! Продаю телефон oppo A5s,60 000 ₸,"Продаю телефон OPPO A5s 
Состояние 10/10 
Нет царапин. Ремонту не принадлежал, коробка имеется 
Пользовались 2... ",Мобильные телефоны » OPPO,Алматы,29 ноября 2020 г.,  24 
Продам телефон Samsung S6102 Galaxy Y Duos в рабочем состоянии,4 000 ₸,Телефон в полном рабочем состоянии. Без коробки. Без зарядки.,Мобильные телефоны » Samsung,Талдыкорган,29 ноября 2020 г.,  324 
Samsung note 3,Договорная цена,Сост хорош.,Мобильные телефоны » Samsung,Абай (Алматинская область),29 ноября 2020 г.,  8 
Iphone xr 64gb черный,200 000 ₸,Продам iphone XR 64gb без коцек носился бережно в чехле батарея 90% так же присутствует обмен на Iphone 11 с моей... ,Мобильные телефоны » Apple,Алматы,29 ноября 2020 г.,  9 
Продам телефон самсунг,75 000 ₸,"Продам телефон самсунг, домашний кинотеатр, наущники оброщатся по номеру телефона",Мобильные телефоны » Другой,Рудный,29 ноября 2020 г.,  26 
Продам сотку VIVO 2019 почти 2020 год,70 000 ₸,Сотка идеальная царапины нету,Мобильные телефоны » Vivo,Кызылорда,29 ноября 2020 г.,  8 
IPhone 12 оригинальный,229 000 ₸,"IPhone совершенно новый. Привезен из ЕС. Коробка не распаковывалась. Год гарантии. Телефон оригинальный. Евротест,... ",Мобильные телефоны » Apple,Нур-Султан (Астана),29 ноября 2020 г.,  116 
IPhone 7 silver 32гб,65 000 ₸,"Продам iPhone 7 
С документами и комплектацией.
Недостатки: разбит экран, ремонт приблизительно 15000
Торг уместен!",Мобильные телефоны » Apple,Кокшетау,29 ноября 2020 г.,  0 
Редми нот7,45 000 ₸,Срочно редми нот7.Память 128ГБ.Каробка все есть.Все работает хорошие состояние.,Мобильные телефоны » Xiaomi,Алматы,29 ноября 2020 г.,  8 
Айфон продам,Договорная цена,Продам айфон 5 s в отличном состоянии реальным покупателям торг есть,"Телефоны, гаджеты » Мобильные телефоны",Уральск,29 ноября 2020 г.,  1419 
Продам телефон LG K8,12 000 ₸,"Купил в 2017 , состояние норм 16гб , главное надо батарейку сзади поменять просто отстояло а так работает .",Мобильные телефоны » Другой,Нур-Султан (Астана),29 ноября 2020 г.,  4 
Текно камон 12,60 000 ₸,Супер классный,Мобильные телефоны » Другой,Алматы,29 ноября 2020 г.,  3 
А 50 идеальный потом айфон 7,80 000 ₸,,Мобильные телефоны » Apple,Алматы,29 ноября 2020 г.,  14 
Продам телефон,35 000 ₸,"Продам самсунг а01, в идеальном состоянии, в использовании был всего полгода, в наличии сам телефон и коробка с... ",Мобильные телефоны » Samsung,Семей,29 ноября 2020 г.,  28 
Apple iPhone 11 новый,175 000 ₸,Айфон абсолютно новый. Доставлен из Европы. Коробка не открывалась. 1 год гарантии от производителя. Телефон... ,Мобильные телефоны » Apple,Алматы,29 ноября 2020 г.,  136 
Продам Sony Xperia XA1 Ultra,Договорная цена,"Продам большой смартфон с экраном 6 дьюм, Андроид 8, память 4/32гб, камера 23мпх, фронталка 16мпх, очищен от мусора... ",Мобильные телефоны » Sony,Актау,29 ноября 2020 г.,  12 
Продам телефон,Договорная цена,Huawei p8 lite все работает отлично единственный минус это батарейка слабая и отсутствие зарядного... ,Мобильные телефоны » Huawei,Алматы,29 ноября 2020 г.,  29 
Абсолютно новый. В идеальном состояни телефон,175 000 ₸,"Xiaomi mi Note 10 Lite. Цвет Nebula Purple. 
В идеальном состоянии. Коробка, зарядное устройство. 
Встроенная память... ",Мобильные телефоны » Xiaomi,Нур-Султан (Астана),29 ноября 2020 г.,  71 
Продам телефон,Договорная цена,"Продам телефоны!
1: vivo y30 купил месяц назад, полная комплектация, 64gb, состояние отличное.
Цена-45000тг, торг... ",Мобильные телефоны » Vivo,Алматы,29 ноября 2020 г.,  47 
Продам Galaxy А20 не проблема,55 000 ₸,,Мобильные телефоны » Samsung,Усть-Каменогорск,29 ноября 2020 г.,  144 
samsung galaxy s20,100 000 ₸,"Eac

Комплект полный, по корпусу ни одной царапины, единственный минус - трещина на дисплее, работать не мешает. Цена... ",Мобильные телефоны » Samsung,Алматы,29 ноября 2020 г.,  14 
Новый топовый Samsung Galaxy Note 20 Ultra 512gb black + подарок к телефону,680 000 ₸,"Новый Samsung Galaxy Note 20 ultra 512gb. 
Цвет: чёрный (black)
Был куплен 30. 09. 2020г. В Dostyk Plaza.

В ПОДАРОК К... ",Мобильные телефоны » Samsung,Алматы,29 ноября 2020 г.,  291 
iPhone 7 32gb,90 000 ₸,,Мобильные телефоны » Apple,Актобе,29 ноября 2020 г.,  127 
Беспроводные наушники самсунг,37 000 ₸,Samsung Galaxy Buds SM-R170N черного цвета,Мобильные телефоны » Samsung,Нур-Султан (Астана),29 ноября 2020 г.,  50 
Продается Самсунг А 50 память 128 ГБ,70 000 ₸,"Состояние нового смартфона
Android 9.0

классический

Количество SIM-карт 2

Размер изображения 2340x1080

Основные... ",Мобильные телефоны » Samsung,Усть-Каменогорск,29 ноября 2020 г.,  18 
Samsung Galaxy A10s,Договорная цена,"Новый почти.Зарядка и чехол в подарок 
В хорошим хорошим состаяне все хорошо работает

Жаңарақ . Зарятка мен чехолы... ",Мобильные телефоны » Samsung,Талгар,29 ноября 2020 г.,  16 
Айфон 6s,52 000 ₸,"iPhone 6s,32gb,space gray. Телефон в идеальном состоянии,все функции работают (Touch id,3D Touch) срабатывает... ",Мобильные телефоны » Apple,Алматы,29 ноября 2020 г.,  34 
Телефон 2020 samsung a 21s,65 000 ₸,"Телефон samsung2020 a21s 2апта ұсталған 
Срочно продам",Мобильные телефоны » Samsung,Кызылорда,29 ноября 2020 г.,  47 
Айфон 6 64 г,60 000 ₸,Телефон хорошим состоянием без минусов на экране трещины это защитное стекло его можно убрать телефон работает очень... ,Мобильные телефоны » Apple,Шымкент,29 ноября 2020 г.,  78 
Продам                                    iPhone,420 000 ₸,"Продам iPhone 11 Pro, 256 GB, Midnight Green. Распечатан и активирован несколько дней назад. В подарок защитное стекло... ",Мобильные телефоны » Apple,Павлодар,29 ноября 2020 г.,  50 
"продам iPhone 8 Plus , space grey , 64 gb",155 000 ₸,"Идеальное состояние , бережная эксплуатация , всегда в чехле и с защитным стеклом , полный комплект . Обмен не... ",Мобильные телефоны » Apple,Павлодар,29 ноября 2020 г.,  576 
Срочно продам теоефон ZTE s6,Договорная цена,Телефон в хорошом состояние все отлитчо работает,Мобильные телефоны » ZTE,Талгар,29 ноября 2020 г.,  2 
Самсунг А20,50 000 ₸,Срошна сатам телефон жақсы жумс істеп тур,Мобильные телефоны » Samsung,Алматы,29 ноября 2020 г.,  5 
Продам кнопочный новый телефон,4 000 ₸,"Продам новый телефон, в хорошем состоянии, в использовании пару месяцев, батарею держит больше 3х дней, полный... ",Мобильные телефоны » Digma,Петропавловск,29 ноября 2020 г.,  5 
Продаю IPhone 11 Red 64 gb,315 000 ₸,"Iphone 11 Red 64gb , в идеальном состояний ,не не единой царапины . Покупала в штатах. Полная комплектация .Сразу как... ",Мобильные телефоны » Apple,Шымкент,29 ноября 2020 г.,  396 
Телефон самсунг,2 350 ₸,Срочный торг можно и обмен телефону 5 лет грязный,Мобильные телефоны » Panasonic,Нур-Султан (Астана),29 ноября 2020 г.,  60 
IPhone 6S Plus 64 GB,75 000 ₸,"Продам айфон 6s plus в отличном состояний 64 гб серебристый но я так сам покрыл обоим, всегда в чехле. В комплекте... ",Мобильные телефоны » Apple,Тараз,29 ноября 2020 г.,  854 
Смартфон,5 000 ₸,Продам смартфон в хорошем состоянии + в подарок повербанк на 5000мач б/у но в рабочем состояний. Доставка по городу... ,Мобильные телефоны » Lenovo,Алматы,29 ноября 2020 г.,  654 
IPHONE XR,170 000 ₸,"Продаю Iphone Xr. Пользовалась год, хорошо работает, не сломан, в идеальном состояний, в подарок power blank и наушники🎧",Мобильные телефоны » Apple,Караганда,29 ноября 2020 г.,  294 
Iphone,190 000 ₸,"Продам  Iphone SE(2020) 64gb black.
с Гарантией новый(запечатанный)",Мобильные телефоны » Apple,Актобе,29 ноября 2020 г.,  3 
IPhone 6 32gb space gray,40 000 ₸,"iPhone 6 в отличном состоянии, не тормозит, носил только в чехле, все родное, дисплей не менялся, Touch ID работает... ",Мобильные телефоны » Apple,Шымкент,29 ноября 2020 г.,  5 
Продам Самсунг Галакси S7EGLE.,70 000 ₸,Продам смартфон в хорошем рабочем состоянии Самсунг галакси S7egle цвет чёрный. Телефон выполняет свои функции без... ,Мобильные телефоны » Samsung,Нур-Султан (Астана),29 ноября 2020 г.,  509 
Продам айфон 6 32гб,Договорная цена,Состояние отличное батарея хорошо держит экран целый отпечаток работает из айклауда выйду есть небольшой торг. 32гб... ,Мобильные телефоны » Apple,Петропавловск,29 ноября 2020 г.,  20 
Nokia 6020,5 000 ₸,Nokia 6020. Оригинал. Made in Germany. Все работает. Простой и надежный телефон. Аккумулятор держит заряд отлично.,Мобильные телефоны » Nokia,Алматы,29 ноября 2020 г.,  13240 
Продам Самсунг галакси S9plus 64гб. телефон,150 000 ₸,"Продам смартфон Самсунг галакси S9plus, цвет титаниум, стоит защитное стекло. В хорошем рабочем состоянии без... ",Мобильные телефоны » Samsung,Нур-Султан (Астана),29 ноября 2020 г.,  459 
Айфон х 256,Договорная цена,Телефон идеальный состояние с каробкой,Мобильные телефоны » Apple,Алматы,29 ноября 2020 г.,  18 
Срочно продам iPhone 5 SE,24 000 ₸,Проблемы с отпечатком ☹ а так всё идеально,Мобильные телефоны » Apple,Талгар,29 ноября 2020 г.,  3 
Продам телефон!,70 000 ₸,Телефоннын жагдайы оте жаксы! Дакумент бари бар! 3-ай бурын алган. Бар сурактар бойынша,Мобильные телефоны » Xiaomi,Тараз,29 ноября 2020 г.,  15 
Iphone 11 128 gb,300 000 ₸,"Продам IPhone 11 128gb  состояние нового
Без царапин, эксплуатировали бережно
На гарантии",Мобильные телефоны » Apple,Нур-Султан (Астана),29 ноября 2020 г.,  522 
Продам телефон HUAWEI Y5 lite,25 000 ₸,"Продам телефон HUAWEI Y 5 lite в хорошем состоянии, в комплекте зарядка чехол, батарейка держит нормально хватает на... ",Мобильные телефоны » Huawei,Алматы,29 ноября 2020 г.,  178 
Iphone 5s Айфон 5s,30 000 ₸,Айфон 5s купили месяц назад почти новый.,Мобильные телефоны » Apple,Ленгер,29 ноября 2020 г.,  24 
IPhone 5s обмен жасайм баска тел мен,19 000 ₸,Айфон 5s каробкасымен тур состояние отличный любой телефонмен обмен жасайм,Мобильные телефоны » Apple,Жетысай,29 ноября 2020 г.,  86 
Xiaomi redmi note 9s,65 000 ₸,Xiaomi redmi note 9s. Отличном состоянии. Всё работает. Память 64гб. Поддержка 2-SIM. Аккумулятор 5020mA-ч.,Мобильные телефоны » Xiaomi,Жаркент,29 ноября 2020 г.,  11 
