names,prices,description,phone_model,city,date,view
Оригинал телефон 2симка,5 000 ₸,"Jinga оригинал телефон 2 симка
Флэшка вставляется
Камера мп3 
Телефон и зарядка
Продам 5000 или обмен на нокия 6700, 515",Мобильные телефоны » Acer,Шымкент,29 ноября 2020 г.,  16016 
А5 2016,Договорная цена,"Samsung A5 2016 состояние новый
Мамашка устаган
Сульпактан 148мынга алгам
Документ бари бар
Срочно продам",Мобильные телефоны » Samsung,Шымкент,29 ноября 2020 г.,  10470 
J5 prime 2017 обмен на А3 17,Договорная цена,"Samsung J5 prime в хорошем состоянии, 2017год. Вложении не требует, отпечатка работает. Минус жок. Обмен на А3 2017",Мобильные телефоны » Samsung,Шымкент,29 ноября 2020 г.,  5786 
Nokia простой,2 000 ₸,"Nokia с фонариком, чисто для связи пойдет, задней крышки нет это не проблема",Мобильные телефоны » Nokia,Шымкент,29 ноября 2020 г.,  18218 
iphone SE 2020 64 gb,220 000 ₸,"СОСТ 10/10
документ есть
заряд наушник радной
ёмкость 100%",Мобильные телефоны » Apple,Актобе,29 ноября 2020 г.,  23 
"IPhone 7 black 32gb.все работает,доки есть",55 000 ₸,,Мобильные телефоны » Apple,Нур-Султан (Астана),29 ноября 2020 г.,  45 
Айфон 6 32,40 000 ₸,Продам Айфон 6 32 Гб с коробкой наушниками чехлом,Мобильные телефоны » Apple,Усть-Каменогорск,29 ноября 2020 г.,  47 
Samsung A10,40 000 ₸,Samsung A10 в новом состоянии. Куплен пару месяцев назад для учёбы. Полный комплект. Без минусов. Тянет любые игры на... ,Мобильные телефоны » Samsung,Тараз,29 ноября 2020 г.,  63 
Продам или обмен телефон,18 000 ₸,Продам нокию люмию 1020 в хорошем состоянии. Камера 41 мп. Играет громко. Доки и коробка есть. Или обменяю на самсунг... ,Мобильные телефоны » Nokia,Караганда,29 ноября 2020 г.,  255 
Продам                                    Телефон,105 000 ₸,"Телефон в отличном состочний, есть торк. Без царапин доки зарятки все есть. 2 чехла в подарок.",Мобильные телефоны » Samsung,Алматы,29 ноября 2020 г.,  36 
Продам телефон Samsung A6+,Договорная цена,Срочно продам телефон есть торг,Мобильные телефоны » Samsung,Альмерек,29 ноября 2020 г.,  37 
Oppo a5s красного цвета,42 000 ₸,"Oppo a5s 
Новый 
Пользовалась девушка
Тянет все игры 
Не лагает не зависает
На экране стекло 
В комплекте коробка... ",Мобильные телефоны » OPPO,Нур-Султан (Астана),29 ноября 2020 г.,  0 
Обменяю телефон,Договорная цена,"Обменяю хонор 7а, пользовался месяц, 16 гб оперативка, целый, в ремонте не был, с коробкой и документами и зарядным,... ",Мобильные телефоны » Другой,Нур-Султан (Астана),29 ноября 2020 г.,  19 
Продам Huawei p smart2019,55 000 ₸,Продам абсолютно новый телефон по цене договоримся,Мобильные телефоны » Huawei,Нур-Султан (Астана),29 ноября 2020 г.,  25 
продам телефон,5 000 ₸,2простой телефон каждый 2000 самсунг 5000 позвоните 87751679382,Мобильные телефоны » Samsung,Атырау,29 ноября 2020 г.,  6 
IPhone 7+ в хорошем состоянии,110 000 ₸,,Мобильные телефоны » Apple,Алматы,29 ноября 2020 г.,  21 
Продаю Айфон 6,40 000 ₸,Продам айфон 6 64 гб минусов нет отпечатка все работает 40000 норм клиенту скидка есть,Мобильные телефоны » Другой,Шымкент,29 ноября 2020 г.,  149 
Продам LG G4,10 000 ₸,Минус то что не работает камера. А так норм телефон,Мобильные телефоны » LG,Алматы,29 ноября 2020 г.,  30 
Продаю айфон 6 китайский память 128 гигов,25 000 ₸,Китайский память128 айклауд снят документы зарядка наушники оригинал,Мобильные телефоны » Apple,Караганда,29 ноября 2020 г.,  13 
продам телефон Samsung A51,85 000 ₸,"Продам телефон Samsung A 51, полная комплектация, состояние нового, на гарантии. Причина продажи приобретение другого... ",Мобильные телефоны » Samsung,Нур-Султан (Астана),29 ноября 2020 г.,  50 
Айфон 11 про,400 000 ₸,64 гига в отличном состоянии не одной царапины,Мобильные телефоны » Apple,Актау,29 ноября 2020 г.,  45 
Huawei p smart,40 000 ₸,,Мобильные телефоны » Huawei,Каскелен,29 ноября 2020 г.,  7 
IPhone 7 | 32GB | Black,105 000 ₸,"В комплекте Коробка(imei проверите на месте)
Проводные наушники Earpods (ориг)
Адаптер зарядки(ориг)
Провод lightning... ",Мобильные телефоны » Apple,Актобе,29 ноября 2020 г.,  26 
Huawei p smart,40 000 ₸,,Мобильные телефоны » Huawei,Каскелен,29 ноября 2020 г.,  7 
IPhone 7 | 32GB | Black,105 000 ₸,"В комплекте Коробка(imei проверите на месте)
Проводные наушники Earpods (ориг)
Адаптер зарядки(ориг)
Провод lightning... ",Мобильные телефоны » Apple,Актобе,29 ноября 2020 г.,  26 
Продам HUAWEI Y5,25 000 ₸,"Телефон📱HUAWEI Y5
Телефону 2 месяца, документы ,выписки ,чек, все есть, телефон в гарантии в центре ""Мечта"" 
Минусов... ",Мобильные телефоны » Huawei,Актау,29 ноября 2020 г.,  38 
IPhone XR,165 000 ₸,"Продам телефон в отличном состоянии, документы все в порядке, имеется гарантия! Срочно!!!!",Мобильные телефоны » Apple,Алматы,29 ноября 2020 г.,  7 
Apple Iphone 7 32 GB (розовое золото),80 000 ₸,"Диагональ 4.7, разрешение 1334*750(пикс),  встроенная память 32 GB , ,фотокамера 12 Мп ,Частота процессора  2340 МГЦ,... ",Мобильные телефоны » Apple,Нур-Султан (Астана),29 ноября 2020 г.,  119 
Смартфон Xiaomi Redmi Note 8 Pro 6/64Gb Forest Green,75 000 ₸,"Смартфон Xiaomi Redmi Note 8 Pro 6/64Gb Forest Green
-Процессор MediaTek Helio G90T
-Объем оперативной памяти... ",Мобильные телефоны » Xiaomi,Нур-Султан (Астана),29 ноября 2020 г.,  23 
"Смартфон Samsung Galaxy S4, 16GB, Black (GT-I9500)",30 000 ₸,"Смартфон Samsung Galaxy S4, 16GB, Black (GT-I9500) 
-Тип матрицы цветной AMOLED
-RAM 2GB
-Основная камера 13... ",Мобильные телефоны » Samsung,Нур-Султан (Астана),29 ноября 2020 г.,  27 
Iphone 7+ plus 32gb,88 000 ₸,Продам iPhone 7 plus 32 gb без минусов работает всё корпус 8/10 в комплекте только сам телефон и чехол торг... ,Мобильные телефоны » Apple,Алматы,29 ноября 2020 г.,  92 
Смартфон,25 000 ₸,В отличном состоянии с документами,Мобильные телефоны » Huawei,Актау,29 ноября 2020 г.,  16 
Телефон,45 000 ₸,Самсунг А7 2016. В хорошем состоянии.,Мобильные телефоны » Samsung,Алматы,29 ноября 2020 г.,  40 
Продам телефон Oppo a3s,35 000 ₸,"Телефон в хорошом состояние в комплекте три чехла и зарядка ничего не менял всё родное цвет тёмно фиолетовый
По другим... ",Мобильные телефоны » OPPO,Алматы,29 ноября 2020 г.,  29 
Продам Samsung a51,Договорная цена,"Новый Samsung a51, 64gb 
Серый цвет",Мобильные телефоны » Samsung,Павлодар,29 ноября 2020 г.,  25 
Samsung galaxy j5  (2016),5 000 ₸,На запчасти цена договорная,Мобильные телефоны » Samsung,Алматы,29 ноября 2020 г.,  118 
Samsung A8 2018,55 000 ₸,"Samsung A8 2018
Полный комплект без наушников
Коробка доки есть
Без царапин,без трещин, на экране стекло
Пользовались... ",Мобильные телефоны » Samsung,Нур-Султан (Астана),29 ноября 2020 г.,  1 
Продам Айфон 6,40 000 ₸,"Продам айфон 6, бу. Работает отлично! Есть на одном месте царапина, из за чего уценённый. 
В комплекте: телефон,... ",Мобильные телефоны » Apple,Семей,29 ноября 2020 г.,  160 
Xiaomi redmi note 8t на 32gb и наушники jbl,50 000 ₸,"Продаю телефон в идеальном состоянии , с коробкой, чехлом(купленным отдельно) и быстрой(заводской) зарядкой все в... ",Мобильные телефоны » Xiaomi,Алматы,29 ноября 2020 г.,  36 
Продам iPhon 11 64Gb black eSIM,260 000 ₸,Продам iPhone 11/64Gb black в идеальном состочние полный комплект коробка документы гарантия чехол на экране стекло... ,Мобильные телефоны » Apple,Алматы,29 ноября 2020 г.,  283 
Самсунг дж7 2016 год4 дж,Договорная цена,Самсунг дж7 2016 год 4дж память 16гиг минус нет батарея харашо держит заряд есть чехол и зарядка идеальное состояние... ,Мобильные телефоны » Samsung,Актобе,29 ноября 2020 г.,  1719 
Смартфон Xiaomi Redmi Note 8 64Gb Neptune Blue,65 000 ₸,"Смартфон Xiaomi Redmi Note 8 4/64Gb Neptune Blue
-RAM 4GB
-Основная камера 48 Мп + 8 Мп + 2 Мп+ 2 Мп
-Фронтальная... ",Мобильные телефоны » Xiaomi,Нур-Султан (Астана),29 ноября 2020 г.,  23 
Samsung Galaxy J7 neo,25 000 ₸,"Продаю свой смартфон Samsung Galaxy J7 neo. Состояние хорошее. Есть незаметная трещина внизу экрана. Звоните, пишите!",Мобильные телефоны » Samsung,Алматы,29 ноября 2020 г.,  362 
Продам смартфон lg x4,40 000 ₸,"Новый смартфон 32 GB , цвет темно синий",Мобильные телефоны » LG,Алматы,29 ноября 2020 г.,  63 
Продам телефон,75 000 ₸,"Телефон в супер идеальном состоянии, без единой царапины, ни разу не падал, на экране стоит стекло, корпус всё время в... ",Мобильные телефоны » OPPO,Нур-Султан (Астана),29 ноября 2020 г.,  1046 
Телефоны сотовые,5 000 ₸,"Телефоны:
""Nikia "" - 2100 цена 5000тг,
""Cамсунг"" - цена 6500тг
Оба с зарядными устройствами, в рабочем состоянии.
""... ",Мобильные телефоны » Nokia,Алматы,29 ноября 2020 г.,  22 
Продам сотовые телефоны,7 500 ₸,"Продам Nokia asha 308 original,имеется коробка и документы в отличном состоянии.цена 7500. Samsung GT 1081... ",Мобильные телефоны » Nokia,Алматы,29 ноября 2020 г.,  31 
Айфон 6 32гб,25 000 ₸,Айфон 6сатам 25ке берп жиберем минусти айтам,Мобильные телефоны » Apple,Атырау,29 ноября 2020 г.,  0 
iPhone 11 Pro Max,370 000 ₸,"Продам IPhone в отличном состоянии, без сколов и царапин. Версия на 2 физические сим-Карты. Пользовались аккуратно.... ",Мобильные телефоны » Apple,Алматы,29 ноября 2020 г.,  2 
"Нокия 1681, простушка",4 500 ₸,"Продаю оптом и в розницу разные типы кнопочных телефонов.
Отправка по всему миру!
Доставка по Алмате от 500 тг.
Для... ",Мобильные телефоны » Nokia,Алматы,29 ноября 2020 г.,  32 
Продам                                    телефон,14 000 ₸,"Продам телефон в рабочем состоянии, только сломано стекло",Мобильные телефоны » Huawei,Нур-Султан (Астана),29 ноября 2020 г.,  34 
IPhone 6S,55 555 ₸,IPhone шестой S есть вариант обмен на другой телефон в комплекте есть зарядник документы коробок куплен году назад... ,Мобильные телефоны » Apple,Актау,29 ноября 2020 г.,  24 
Samsung Galaxy А70. A8+ Replica КОПИЯ смартфон,33 000 ₸,"Южнокорейские 100% Копии Replica
Samsung Galaxy А70. A8+
Процессор МТК 6592
8ми ядер

Есть Доставка по Казахстану",Мобильные телефоны » Samsung,Алматы,29 ноября 2020 г.,  18745 
Айфон ХР сатылады срочно,160 000 ₸,Айфон ХР сатылады срочно 160 мын барлык заты бар,Мобильные телефоны » Apple,Актау,29 ноября 2020 г.,  32 
Продам телефон Huawei P Smart 2019 3/32 GB,65 000 ₸,"Пользвался телефоном месяц, в коробке есть гарантия от технодома и все что было при покупке, вместе с телефоном отдам... ",Мобильные телефоны » Huawei,Рудный,29 ноября 2020 г.,  1 
Самсунг А3 2017 жылгы 32 гб,Договорная цена,Кыз бала устаган тап таза царапин сынык жок кумайд нормально жасайд 4 ж устайд защитный бар сол сызылган экран тап... ,"Телефоны, гаджеты » Мобильные телефоны",Актау,29 ноября 2020 г.,  37 
Huawei p30 128gb,70 000 ₸,"Ассалаумағалайкум.
Продам телефон huawei p30 lite без минусов идеальное состояние, не зависает не тормозит,коробка... ",Мобильные телефоны » Huawei,Шымкент,29 ноября 2020 г.,  43 
Samsung Galaxy j6,24 000 ₸,,Мобильные телефоны » Samsung,Кентау,29 ноября 2020 г.,  43 
Продам Galaxy mini в среднем состояний,5 000 ₸,Продаю т. К. Не нужный воляется,Мобильные телефоны » Samsung,Алматы,29 ноября 2020 г.,  48 
Продам Samsung Galaxy Grand Prime,20 000 ₸,"Состояние отличное , зарядку держит хорошо , коробка есть единственное нет комплектной зарядки.",Мобильные телефоны » Samsung,Алматы,29 ноября 2020 г.,  73 
Nokia 105 с двумя симками,4 000 ₸,"Пишите в или в ЛС, не звоните!

Цена окончательная, торга и доставки нет.

Телефон для звонков, две симкарты, чисто... ",Мобильные телефоны » Nokia,Алматы,29 ноября 2020 г.,  56 
Fly TS113 с тремя симкартами,5 000 ₸,"Цена окончательная, торга и доставки нет.

Телефон с тремя симкартами, коробки и зарядки в комплекте НЕТ.

ГОтов к... ",Мобильные телефоны » Fly,Алматы,29 ноября 2020 г.,  23 
SAMSUNG GT-E2252 с двумя симками,3 500 ₸,"Цена окончательная, торга и доставки нет.

Двухсимочный телефон для звонков. 
В рабочем состоянии, коробки и зарядки в... ",Мобильные телефоны » Samsung,Алматы,29 ноября 2020 г.,  44 
Nokia 105,4 000 ₸,"Цена окончательная, торга и доставки нет.

Телефон для звонков, две симкарты, полностью рабочий. 

Цена окончательная.",Мобильные телефоны » Nokia,Алматы,29 ноября 2020 г.,  56 
Samsung Galaxy s20 Ultra 5G,250 000 ₸,"Телефон в идеальном техническом состояний!
100Х ZOOM
128GB 
100% оригинал
Made in Vietnam
Один хозяин
Покупали в... ",Мобильные телефоны » Samsung,Алматы,29 ноября 2020 г.,  85 
Телефон,Договорная цена,"Новый, корапка бар зарядкасы
 Бар.",Мобильные телефоны » Другой,Нур-Султан (Астана),29 ноября 2020 г.,  42 
Телефон bluboo S8,15 000 ₸,"Продам телефон, КИТАЙ Bluboo s8, аналог Самсунг s8. В рабочем состоянии, 32 гб. Все отлично работает, единственное... ",Мобильные телефоны » Другой,Алматы,29 ноября 2020 г.,  1280 
Samsung Note 10Plus,350 000 ₸,"Продаётся Самсунг Ноут 10 плюс 📱
🔵Цвет- Aura Blue
⚫️Память-256гб
▪️Коробка с полным комплектом имеется 
▫️В подарок... ",Мобильные телефоны » Samsung,Шымкент,29 ноября 2020 г.,  110 
Xiaomi Redmi Note 8 Pro/6-128GB,85 000 ₸,"Продам Xiaomi Redmi Note 8 Pro/6-128GB. Mineral Grey (Серый). 
Без единой царапины и без повреждений.
Был в... ",Мобильные телефоны » Xiaomi,Нур-Султан (Астана),29 ноября 2020 г.,  23 
Huawei P20 pink,150 000 ₸,,Мобильные телефоны » Huawei,Алматы,29 ноября 2020 г.,  0 
Продаю срочно айфон про макс 11.,230 000 ₸,Продаю срочно хорошом состояния айфон про макс 11pro срочно мне нужен деньги вон очень хороший не сломани работает всё... ,Мобильные телефоны » Apple,Алматы,29 ноября 2020 г.,  146 
Срочно продам телефон,10 000 ₸,"Сломан экран, во всем остальном вполне рабочий. Пишите звоните замена экрана стоит 8500. Новый стоит от 55К. Имеется... ",Мобильные телефоны » Lenovo,Нур-Султан (Астана),29 ноября 2020 г.,  9 
Продам телефон самсунг А51 полный комплект,100 000 ₸,Состояние идеальное почти новый год гарантия полный комплект плюс чехол книжка память 128гб.,Мобильные телефоны » Samsung,Алматы,29 ноября 2020 г.,  56 
Продаю айфон 11 black 128-,295 000 ₸,Новая!,Мобильные телефоны » Apple,Алматы,29 ноября 2020 г.,  35 
Oppo A5s,30 000 ₸,Телефон в хорошем состоянии,Мобильные телефоны » OPPO,Нур-Султан (Астана),29 ноября 2020 г.,  0 
Продам запечатанный Iphone 12 Pro Max 128gb,620 000 ₸,"Срочно продам новый запечатанный Iphone 12 Pro Max 128gb синий 620000 тенге срочно, в связи с тем что нужны деньги",Мобильные телефоны » Apple,Алматы,29 ноября 2020 г.,  4 
IPhone 6 satylady,45 000 ₸,Aifon 6 satylady 32 gb,Мобильные телефоны » Apple,Актау,29 ноября 2020 г.,  78 
Подам телефон,Договорная цена,Подам телефон и Huawei Y5 2019 купил 12.07.2020 состояние идеальное все полный комплект документов гарантия чек... ,Мобильные телефоны » Huawei,Усть-Каменогорск,29 ноября 2020 г.,  25 
samsung s4 продажа,10 000 ₸,"В хорошем состоянии , чехол - книжка .",Мобильные телефоны » Samsung,Шымкент,29 ноября 2020 г.,  31 
"Ищу телефоны, 2 айфон по подступным ценам",20 000 ₸,"Главное что бы были в хорошем состоянии. Г Алматы 
Только Айфоны",Мобильные телефоны » Apple,Алматы,29 ноября 2020 г.,  2 
Продам Xiaomi Pocophone F1,115 000 ₸,"ОБМЕН НЕ ИНТЕРЕСУЕТ! НУЖНЫ ДЕНЬГИ!

Смартфон в идеальном состоянии! Покупал в феврале 2019г за 160000 тг в Алмате.... ",Мобильные телефоны » Xiaomi,Тараз,29 ноября 2020 г.,  177 
Породам телефон Айфон 6,65 000 ₸,64 гб,Мобильные телефоны » Dex,Узынагаш,29 ноября 2020 г.,  80 
Samsung Galaxy J7 2016,35 000 ₸,"Телефон в идеальном состоянии. С момента покупки Был в чехле и с защитным стеклом. В комплекте зарядка,2 чехла.... ",Мобильные телефоны » Samsung,Усть-Каменогорск,29 ноября 2020 г.,  154 
Айфон 6,Договорная цена,"Продам айфон 6,6s телефоны в хорошем состоянии быстрым торг жду 87022953545",Мобильные телефоны » Apple,Уральск,29 ноября 2020 г.,  26 
IPhone 7 32gb,92 000 ₸,"Продам iPhone 7 32gb, есть коцки по корпусу, сам телефон работает безупречно. Коробка имеется. Все вопросы по... ",Мобильные телефоны » Apple,Алматы,29 ноября 2020 г.,  127 
Смартфон,55 000 ₸,Продается смартфон Huawei Honor 10 lite. Смартфон в хорошем состоянии. Память 64гБ. Покупал в феврале 2020 года в... ,Мобильные телефоны » Huawei,Нур-Султан (Астана),29 ноября 2020 г.,  128 
Lg k8,22 000 ₸,"Продам Lg k8 в идеальном состоянии,с коробкой и документами",Мобильные телефоны » LG,Тараз,29 ноября 2020 г.,  136 
СРОЧНО! Айфон 6 плюс и Самсунг А5 2017,75 000 ₸,"СРОЧНО! 2 телефона за 75, 000тг. Айфон 6 плюс 16гб и Самсунг А5 2017г. Оба телефона в отличном состоянии, рабочие.... ",Мобильные телефоны » Apple,Нур-Султан (Астана),29 ноября 2020 г.,  21 
"Samsung A5, 2017",35 000 ₸,"Samsung A5, 2017г. 35, 000тг Срочно! В отличном состоянии, все работает идеально, 2 симки, без коробки, есть зарядное... ",Мобильные телефоны » Samsung,Нур-Султан (Астана),29 ноября 2020 г.,  48 
продам айфон 8+,140 000 ₸,Продам свой телефон срочно нужны деньги,Мобильные телефоны » Apple,Алматы,29 ноября 2020 г.,  2 
IPhone 6 Plus,40 000 ₸,"Айфон 6 плюс, серый, 16гб за 40,000тг. Без коробки. Телефон оригинал, один хозяин, телефон отлично работает. Не... ",Мобильные телефоны » Apple,Нур-Султан (Астана),29 ноября 2020 г.,  147 
Apple iPhone 6 64 Gb,50 000 ₸,"Продаю iPhone 6, Silver 64 gb в хорошем состоянии, все работает. В наличий есть чехол, Samsung наушник, зарядка, и... ",Мобильные телефоны » Apple,Нур-Султан (Астана),29 ноября 2020 г.,  332 
IOS iPhone 6 64 gb,50 000 ₸,"Продаю iPhone 6, Silver 64 gb в хорошем состоянии, все работает. В наличий есть чехол, Samsung наушник, зарядка, и... ",Мобильные телефоны » Apple,Нур-Султан (Астана),29 ноября 2020 г.,  294 
айфон 7 плюс 64 гб  все работает без минусов,110 000 ₸,Есть торг,Мобильные телефоны » Apple,Нур-Султан (Астана),29 ноября 2020 г.,  22 
Продаю телефон Huawei y6 prime 2018,40 000 ₸,"Продаю телефон Huawei очень в хорошем состаяний. Память 16гб в золотистым цвете.
Причина продажи:хочу перетий с Huawei... ",Мобильные телефоны » Huawei,Усть-Каменогорск,29 ноября 2020 г.,  51 
Продам новый самсунг s20 ultra,Договорная цена,Продам абсолютно новый телефон.  Купила месяц назад. Состояние идеальное.  Память 128гб.  Если обмен только телефоны... ,Мобильные телефоны » Samsung,Атырау,29 ноября 2020 г.,  161 
Продам iPhone SE,100 000 ₸,Продам айфон SE полный комплект в отличном состоянии. 32гб,Мобильные телефоны » Apple,Тараз,29 ноября 2020 г.,  1484 
Самсунг а5 2017г Samsung a5 срочна сатылады,30 000 ₸,Телефон жакнда алдым багасын келсемиз тел алмай жатсам,Мобильные телефоны » Samsung,Жапек батыр,29 ноября 2020 г.,  26 
Продам Самсунг,Договорная цена,"Самсунг J7 2016 года очень прост в использовании и удобен как телефон.
Так же он тянет игры на фул hg 
Память 16г. +... ",Мобильные телефоны » Samsung,Усть-Каменогорск,29 ноября 2020 г.,  19 
Apple S 6+,60 000 ₸,Айфон S 6+  продам почти новые пользовался месяц в хорошем состоянии есть один минус  по корпусу продам либо Обмен,Мобильные телефоны » Apple,Алматы,29 ноября 2020 г.,  0 
Самсунг галакси А 3. 2017гв,40 000 ₸,Самсунг галакси А3. 2017 гв. В отличном состояний. Документы 100%,Мобильные телефоны » Samsung,Кызылорда,29 ноября 2020 г.,  10 
Продается J7(2016),30 000 ₸,Качество:Идеальное; Использовалось только для работы,Мобильные телефоны » Samsung,Атырау,29 ноября 2020 г.,  17 
Продается J7(2016),35 000 ₸,Качество:Идеальное; Использовалось только для работы,Мобильные телефоны » Samsung,Атырау,29 ноября 2020 г.,  2 
Продается J7(2016) 16гб + 8гб,30 000 ₸,Состояние идеальное,Мобильные телефоны » Samsung,Атырау,29 ноября 2020 г.,  19 
Продается J7(2016) 16гб + 8гб,35 000 ₸,Состояние идеальное,Мобильные телефоны » Samsung,Атырау,29 ноября 2020 г.,  22 
